dataset; method; num_of_feat; wilcoxon_p; f1_results; scores
ecoli4.dat; RELIEF; 6; 0; [0.8235294117647058,0.0,0.7499999999999999,0.0,0.0]; [0,1,2,4,5,6]
ecoli4.dat; INFORATION GAIN; 6; 0; [0.8235294117647058,0.0,0.7499999999999999,0.0,0.0]; [0,1,2,3,4,5]
ecoli4.dat; CHI SQUARE; 4; 0; [0.8235294117647058,0.0,0.7499999999999999,0.0,0.0]; [1,2,4,6]
ecoli4.dat; CORRELATION COEF; 5; 0; [0.8235294117647058,0.0,0.7499999999999999,0.0,0.0]; [1,2,4,5,6]
abalone9-18.dat; NO SELECTION; 8; 0; [0.0,0.0,0.0,0.0,0.0]; ['all']
abalone9-18.dat; ANOVA; 1; 0; [0.0,0.0,0.0,0.0,0.0]; [7]
abalone9-18.dat; RELIEF; 1; 0; [0.0,0.0,0.0,0.0,0.0]; [0]
abalone9-18.dat; INFORATION GAIN; 1; 0; [0.0,0.0,0.0,0.0,0.0]; [7]
abalone9-18.dat; CHI SQUARE; 1; 0; [0.0,0.0,0.0,0.0,0.0]; [7]
abalone9-18.dat; CORRELATION COEF; 1; 0; [0.0,0.0,0.0,0.0,0.0]; [2]
glass2.dat; NO SELECTION; 9; 0; [0.0,0.0,0.0,0.0,0.0]; ['all']
glass2.dat; ANOVA; 1; 0; [0.0,0.0,0.0,0.0,0.0]; [4]
glass2.dat; RELIEF; 1; 0; [0.0,0.0,0.0,0.0,0.0]; [2]
glass2.dat; INFORATION GAIN; 1; 0; [0.0,0.0,0.0,0.0,0.0]; [2]
glass2.dat; CHI SQUARE; 1; 0; [0.0,0.0,0.0,0.0,0.0]; [7]
glass2.dat; CORRELATION COEF; 1; 0; [0.0,0.0,0.0,0.0,0.0]; [6]
glass4.dat; NO SELECTION; 9; 0; [0.0,0.0,0.4,0.0,0.0]; ['all']
glass4.dat; ANOVA; 5; 0; [0.0,0.0,0.4,0.0,0.0]; [0,2,3,4,5]
glass4.dat; RELIEF; 4; 0; [0.0,0.0,0.4,0.0,0.0]; [2,4,5,6]
glass4.dat; INFORATION GAIN; 8; 0; [0.0,0.0,0.4,0.0,0.0]; [1,2,3,4,5,6,7,8]
glass4.dat; CHI SQUARE; 5; 0; [0.0,0.0,0.4,0.0,0.0]; [2,3,4,5,7]
glass4.dat; CORRELATION COEF; 7; 0; [0.0,0.0,0.4,0.0,0.0]; [1,2,3,4,5,6,7]
yeast-1-2-8-9_vs_7.dat; NO SELECTION; 8; 0; [0.0,0.0,0.0,0.0,0.0]; ['all']
yeast-1-2-8-9_vs_7.dat; ANOVA; 1; 0; [0.0,0.0,0.0,0.0,0.0]; [0]
yeast-1-2-8-9_vs_7.dat; RELIEF; 1; 0; [0.0,0.0,0.0,0.0,0.0]; [0]
yeast-1-2-8-9_vs_7.dat; INFORATION GAIN; 1; 0; [0.0,0.0,0.0,0.0,0.0]; [5]
yeast-1-2-8-9_vs_7.dat; CHI SQUARE; 1; 0; [0.0,0.0,0.0,0.0,0.0]; [0]
yeast-1-2-8-9_vs_7.dat; CORRELATION COEF; 1; 0; [0.0,0.0,0.0,0.0,0.0]; [1]
abalone19.dat; NO SELECTION; 8; 0; [0.0,0.0,0.0,0.0,0.0]; ['all']
abalone19.dat; ANOVA; 1; 0; [0.0,0.0,0.0,0.0,0.0]; [7]
abalone19.dat; RELIEF; 1; 0; [0.0,0.0,0.0,0.0,0.0]; [4]
abalone19.dat; INFORATION GAIN; 1; 0; [0.0,0.0,0.0,0.0,0.0]; [2]
abalone19.dat; CHI SQUARE; 1; 0; [0.0,0.0,0.0,0.0,0.0]; [7]
abalone19.dat; CORRELATION COEF; 1; 0; [0.0,0.0,0.0,0.0,0.0]; [2]
yeast-1-4-5-8_vs_7.dat; NO SELECTION; 8; 0; [0.0,0.0,0.0,0.0,0.0]; ['all']
yeast-1-4-5-8_vs_7.dat; ANOVA; 1; 0; [0.0,0.0,0.0,0.0,0.0]; [1]
yeast-1-4-5-8_vs_7.dat; RELIEF; 1; 0; [0.0,0.0,0.0,0.0,0.0]; [0]
yeast-1-4-5-8_vs_7.dat; INFORATION GAIN; 1; 0; [0.0,0.0,0.0,0.0,0.0]; [0]
yeast-1-4-5-8_vs_7.dat; CHI SQUARE; 1; 0; [0.0,0.0,0.0,0.0,0.0]; [0]
yeast-1-4-5-8_vs_7.dat; CORRELATION COEF; 1; 0; [0.0,0.0,0.0,0.0,0.0]; [1]
vowel0.dat; NO SELECTION; 13; 0; [0.3018867924528302,0.0,0.5483870967741935,0.16,0.0]; ['all']
vowel0.dat; ANOVA; 1; 0.06788915486182899; [0.6571428571428571,0.0,0.6363636363636364,0.5882352941176471,0.5833333333333334]; [4]
vowel0.dat; RELIEF; 1; 0.06788915486182899; [0.6571428571428571,0.0,0.6363636363636364,0.5882352941176471,0.5833333333333334]; [4]
vowel0.dat; INFORATION GAIN; 1; 0.06788915486182899; [0.6571428571428571,0.0,0.6363636363636364,0.5882352941176471,0.5833333333333334]; [4]
vowel0.dat; CHI SQUARE; 1; 0.06788915486182899; [0.6571428571428571,0.0,0.6363636363636364,0.5882352941176471,0.5833333333333334]; [4]
vowel0.dat; CORRELATION COEF; 12; 0; [0.3018867924528302,0.0,0.5483870967741935,0.16,0.0]; [1,2,3,4,5,6,7,8,9,10,11,12]
yeast6.dat; NO SELECTION; 8; 0; [0.5,0.0,0.5384615384615385,0.5,0.0]; ['all']
yeast6.dat; ANOVA; 7; 0; [0.5,0.0,0.5384615384615385,0.5,0.0]; [0,1,2,3,5,6,7]
yeast6.dat; RELIEF; 7; 0; [0.5,0.0,0.5384615384615385,0.5,0.0]; [0,1,2,3,5,6,7]
yeast6.dat; INFORATION GAIN; 7; 0; [0.5,0.0,0.5384615384615385,0.5,0.0]; [0,1,3,4,5,6,7]
yeast6.dat; CHI SQUARE; 7; 0; [0.5,0.0,0.5384615384615385,0.5,0.0]; [0,1,3,4,5,6,7]
yeast6.dat; CORRELATION COEF; 7; 0; [0.5,0.0,0.5384615384615385,0.5,0.0]; [1,2,3,4,5,6,7]
glass-0-1-6_vs_2.dat; NO SELECTION; 9; 0; [0.0,0.0,0.0,0.0,0.0]; ['all']
glass-0-1-6_vs_2.dat; ANOVA; 1; 0; [0.0,0.0,0.0,0.0,0.0]; [4]
glass-0-1-6_vs_2.dat; RELIEF; 1; 0; [0.0,0.0,0.0,0.0,0.0]; [2]
glass-0-1-6_vs_2.dat; INFORATION GAIN; 1; 0; [0.0,0.0,0.0,0.0,0.0]; [7]
glass-0-1-6_vs_2.dat; CHI SQUARE; 1; 0; [0.0,0.0,0.0,0.0,0.0]; [7]
glass-0-1-6_vs_2.dat; CORRELATION COEF; 1; 0; [0.0,0.0,0.0,0.0,0.0]; [6]
page-blocks-1-3_vs_4.dat; NO SELECTION; 10; 0; [0.09523809523809523,0.0,0.0,0.0,0.0]; ['all']
page-blocks-1-3_vs_4.dat; ANOVA; 5; 0; [0.09523809523809523,0.0,0.0,0.0,0.0]; [0,2,7,8,9]
page-blocks-1-3_vs_4.dat; RELIEF; 3; 0; [0.09523809523809523,0.0,0.0,0.0,0.0]; [2,7,8]
page-blocks-1-3_vs_4.dat; INFORATION GAIN; 5; 0; [0.09523809523809523,0.0,0.0,0.0,0.0]; [0,3,7,8,9]
page-blocks-1-3_vs_4.dat; CHI SQUARE; 5; 0; [0.09523809523809523,0.0,0.0,0.0,0.0]; [0,2,7,8,9]
page-blocks-1-3_vs_4.dat; CORRELATION COEF; 5; 0; [0.09523809523809523,0.0,0.0,0.0,0.0]; [2,5,7,8,9]
shuttle-c0-vs-c4.dat; NO SELECTION; 9; 0; [1.0,0.0,0.991869918699187,1.0,0.8648648648648648]; ['all']
shuttle-c0-vs-c4.dat; ANOVA; 4; 0; [1.0,0.0,0.991869918699187,1.0,0.8648648648648648]; [0,6,7,8]
shuttle-c0-vs-c4.dat; RELIEF; 4; 0; [1.0,0.0,0.991869918699187,1.0,0.8648648648648648]; [0,4,6,8]
shuttle-c0-vs-c4.dat; INFORATION GAIN; 4; 0; [1.0,0.0,0.991869918699187,1.0,0.8648648648648648]; [0,4,6,8]
shuttle-c0-vs-c4.dat; CHI SQUARE; 4; 0; [1.0,0.0,0.991869918699187,1.0,0.8648648648648648]; [0,6,7,8]
shuttle-c0-vs-c4.dat; CORRELATION COEF; 1; 0.06788915486182899; [0.6326530612244898,0.0,0.6732673267326732,0.625,0.6285714285714286]; [7]
yeast-2_vs_4.dat; NO SELECTION; 8; 0; [0.6829268292682926,0.0,0.7826086956521738,0.5882352941176471,0.19999999999999998]; ['all']
yeast-2_vs_4.dat; ANOVA; 7; 0; [0.6829268292682926,0.0,0.7826086956521738,0.5882352941176471,0.19999999999999998]; [0,1,2,3,4,5,6]
yeast-2_vs_4.dat; RELIEF; 6; 0; [0.6829268292682926,0.0,0.7826086956521738,0.5882352941176471,0.19999999999999998]; [0,1,2,3,6,7]
yeast-2_vs_4.dat; INFORATION GAIN; 7; 0; [0.6829268292682926,0.0,0.7826086956521738,0.5882352941176471,0.19999999999999998]; [0,1,2,4,5,6,7]
yeast-2_vs_4.dat; CHI SQUARE; 7; 0; [0.6829268292682926,0.0,0.7826086956521738,0.5882352941176471,0.19999999999999998]; [0,1,2,3,4,5,6]
yeast-2_vs_4.dat; CORRELATION COEF; 1; 0.06788915486182899; [0.3529411764705882,0.0,0.14285714285714288,0.13333333333333333,0.0]; [1]
yeast-1_vs_7.dat; NO SELECTION; 7; 0; [0.0,0.0,0.0,0.0,0.0]; ['all']
yeast-1_vs_7.dat; ANOVA; 2; 0; [0.0,0.0,0.0,0.0,0.0]; [1,2]
yeast-1_vs_7.dat; RELIEF; 1; 0; [0.0,0.0,0.0,0.0,0.0]; [6]
yeast-1_vs_7.dat; INFORATION GAIN; 3; 0; [0.0,0.0,0.0,0.0,0.0]; [2,4,6]
yeast-1_vs_7.dat; CHI SQUARE; 1; 0; [0.0,0.0,0.0,0.0,0.0]; [2]
yeast-1_vs_7.dat; CORRELATION COEF; 1; 0; [0.0,0.0,0.0,0.0,0.0]; [1]
shuttle-c2-vs-c4.dat; NO SELECTION; 9; 0; [0.0,0.0,0.0,0.0,0.0]; ['all']
shuttle-c2-vs-c4.dat; ANOVA; 1; 0; [0.0,0.0,0.0,0.0,0.0]; [6]
shuttle-c2-vs-c4.dat; RELIEF; 1; 0; [0.0,0.0,0.0,0.0,0.0]; [8]
shuttle-c2-vs-c4.dat; INFORATION GAIN; 1; 0; [0.0,0.0,0.0,0.0,0.0]; [6]
shuttle-c2-vs-c4.dat; CHI SQUARE; 1; 0; [0.0,0.0,0.0,0.0,0.0]; [6]
shuttle-c2-vs-c4.dat; CORRELATION COEF; 1; 0; [0.0,0.0,0.0,0.0,0.0]; [7]
glass-0-1-6_vs_5.dat; NO SELECTION; 9; 0; [0.0,0.0,0.0,0.0,0.0]; ['all']
glass-0-1-6_vs_5.dat; ANOVA; 1; 0; [0.0,0.0,0.0,0.0,0.0]; [1]
glass-0-1-6_vs_5.dat; RELIEF; 1; 0; [0.0,0.0,0.0,0.0,0.0]; [2]
glass-0-1-6_vs_5.dat; INFORATION GAIN; 1; 0; [0.0,0.0,0.0,0.0,0.0]; [5]
glass-0-1-6_vs_5.dat; CHI SQUARE; 1; 0; [0.0,0.0,0.0,0.0,0.0]; [2]
glass-0-1-6_vs_5.dat; CORRELATION COEF; 1; 0; [0.0,0.0,0.0,0.0,0.0]; [6]
yeast-0-5-6-7-9_vs_4.dat; NO SELECTION; 8; 0; [0.29411764705882354,0.0,0.21428571428571425,0.0,0.0]; ['all']
yeast-0-5-6-7-9_vs_4.dat; ANOVA; 7; 0; [0.29411764705882354,0.0,0.21428571428571425,0.0,0.0]; [0,1,2,4,5,6,7]
yeast-0-5-6-7-9_vs_4.dat; RELIEF; 7; 0; [0.29411764705882354,0.0,0.21428571428571425,0.0,0.0]; [0,1,2,3,5,6,7]
yeast-0-5-6-7-9_vs_4.dat; INFORATION GAIN; 7; 0; [0.29411764705882354,0.0,0.21428571428571425,0.0,0.0]; [0,2,3,4,5,6,7]
yeast-0-5-6-7-9_vs_4.dat; CHI SQUARE; 7; 0; [0.29411764705882354,0.0,0.21428571428571425,0.0,0.0]; [0,1,2,4,5,6,7]
yeast-0-5-6-7-9_vs_4.dat; CORRELATION COEF; 7; 0; [0.29411764705882354,0.0,0.21428571428571425,0.0,0.0]; [1,2,3,4,5,6,7]
ecoli-0-1-3-7_vs_2-6.dat; NO SELECTION; 7; 0; [0.0,0.0,0.0,0.0,0.0]; ['all']
ecoli-0-1-3-7_vs_2-6.dat; ANOVA; 1; 0; [0.0,0.0,0.0,0.0,0.0]; [2]
ecoli-0-1-3-7_vs_2-6.dat; RELIEF; 1; 0; [0.0,0.0,0.0,0.0,0.0]; [2]
ecoli-0-1-3-7_vs_2-6.dat; INFORATION GAIN; 1; 0; [0.0,0.0,0.0,0.0,0.0]; [4]
ecoli-0-1-3-7_vs_2-6.dat; CHI SQUARE; 1; 0; [0.0,0.0,0.0,0.0,0.0]; [2]
ecoli-0-1-3-7_vs_2-6.dat; CORRELATION COEF; 1; 0; [0.0,0.0,0.0,0.0,0.0]; [6]
glass5.dat; NO SELECTION; 9; 0; [0.0,0.0,0.0,0.0,0.0]; ['all']
glass5.dat; ANOVA; 1; 0; [0.0,0.0,0.0,0.0,0.0]; [1]
glass5.dat; RELIEF; 1; 0; [0.0,0.0,0.0,0.0,0.0]; [2]
glass5.dat; INFORATION GAIN; 1; 0; [0.0,0.0,0.0,0.0,0.0]; [7]
glass5.dat; CHI SQUARE; 1; 0; [0.0,0.0,0.0,0.0,0.0]; [5]
glass5.dat; CORRELATION COEF; 1; 0; [0.0,0.0,0.0,0.0,0.0]; [6]
